,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
3079,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.1,10,0.7595282832558281,0.00046881151772723274,"(0.75, sLIN)-DP",0.75,sLIN
3080,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.1,20,0.7593132766785462,0.00019903492957382696,"(0.75, sLIN)-DP",0.75,sLIN
3081,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.1,5,0.7592518704794153,0.00010343013208702971,"(0.75, sLIN)-DP",0.75,sLIN
3082,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.1,10,0.760388234115779,0.0021090173177298784,"(0.75, sLIN)-DP",0.75,sLIN
3083,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.1,20,0.7602039447847831,0.0015094987929952634,"(0.75, sLIN)-DP",0.75,sLIN
3084,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.25,5,0.7609410596686046,0.002837352843185034,"(0.75, sLIN)-DP",0.75,sLIN
3085,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.25,10,0.7586068837565844,0.002138757102242714,"(0.75, sLIN)-DP",0.75,sLIN
3086,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.25,20,0.7809656391243218,0.012258010991434354,"(0.75, sLIN)-DP",0.75,sLIN
3087,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.25,5,0.7623231235506684,0.005559999695648203,"(0.75, sLIN)-DP",0.75,sLIN
3088,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.25,10,0.7713524519662245,0.011592480399296197,"(0.75, sLIN)-DP",0.75,sLIN
3089,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.25,20,0.7913762392055805,0.005886254801306553,"(0.75, sLIN)-DP",0.75,sLIN
3090,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.25,5,0.7592211862421443,0.0007224343456424112,"(0.75, sLIN)-DP",0.75,sLIN
3091,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.25,10,0.7612789163687366,0.002434206713670278,"(0.75, sLIN)-DP",0.75,sLIN
3092,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.25,20,0.7665614009176883,0.010319310048292148,"(0.75, sLIN)-DP",0.75,sLIN
3093,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.25,5,0.7605417967693417,0.0017436240962484535,"(0.75, sLIN)-DP",0.75,sLIN
3094,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.25,10,0.7654249382542797,0.005866337754414863,"(0.75, sLIN)-DP",0.75,sLIN
3095,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.25,20,0.7884280248801208,0.007188600792158665,"(0.75, sLIN)-DP",0.75,sLIN
3096,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.5,5,0.7606646516077654,0.005486185818052785,"(0.75, sLIN)-DP",0.75,sLIN
3097,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.5,10,0.7286316801286861,0.049603811803091,"(0.75, sLIN)-DP",0.75,sLIN
3098,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.5,20,0.7399969952365162,0.03250169457334857,"(0.75, sLIN)-DP",0.75,sLIN
3099,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.5,5,0.7567032067032067,0.006832193902346647,"(0.75, sLIN)-DP",0.75,sLIN
3100,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.5,10,0.7587306156916934,0.022682631433607627,"(0.75, sLIN)-DP",0.75,sLIN
3101,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.5,20,0.7556282681282682,0.022874232770198302,"(0.75, sLIN)-DP",0.75,sLIN
3102,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.5,5,0.764840914466663,0.010911840354054259,"(0.75, sLIN)-DP",0.75,sLIN
3103,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.5,10,0.7375389553533266,0.017428113806546894,"(0.75, sLIN)-DP",0.75,sLIN
3104,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.5,20,0.7441728714183803,0.019571006515978723,"(0.75, sLIN)-DP",0.75,sLIN
3105,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.5,5,0.783023605029593,0.017232936806385213,"(0.75, sLIN)-DP",0.75,sLIN
3106,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.5,10,0.753385385720715,0.017003040594491356,"(0.75, sLIN)-DP",0.75,sLIN
3107,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.5,20,0.7857256616987156,0.013219208151578146,"(0.75, sLIN)-DP",0.75,sLIN
3108,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.75,5,0.7337605595839128,0.022184137953471142,"(0.75, sLIN)-DP",0.75,sLIN
3109,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.75,10,0.6921155704089836,0.05764496354889448,"(0.75, sLIN)-DP",0.75,sLIN
3110,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=5, max_splits=30)",0.25,0.75,20,0.7167456902486844,0.053886322807288015,"(0.75, sLIN)-DP",0.75,sLIN
3111,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.75,5,0.7607867802478581,0.014851359197640536,"(0.75, sLIN)-DP",0.75,sLIN
3112,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.75,10,0.7429144876001164,0.027331214406241332,"(0.75, sLIN)-DP",0.75,sLIN
3113,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=2,
               max_random_trees=10, max_splits=30)",0.25,0.75,20,0.742391228693624,0.036018640893845225,"(0.75, sLIN)-DP",0.75,sLIN
3114,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.75,5,0.7404251834641057,0.01879856847212603,"(0.75, sLIN)-DP",0.75,sLIN
3115,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.75,10,0.7205844689377623,0.051604201623184756,"(0.75, sLIN)-DP",0.75,sLIN
3116,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=5, max_splits=30)",0.25,0.75,20,0.695002364388592,0.05802286353828508,"(0.75, sLIN)-DP",0.75,sLIN
3117,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.75,5,0.7539695462599655,0.00398139076069758,"(0.75, sLIN)-DP",0.75,sLIN
3118,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.75,10,0.7079342307635721,0.056675684923242556,"(0.75, sLIN)-DP",0.75,sLIN
3119,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               global_delta='sLIN', global_epsilon=0.75, max_depth=13,
               max_random_trees=10, max_splits=30)",0.25,0.75,20,0.7731034340315778,0.0192944182124835,"(0.75, sLIN)-DP",0.75,sLIN
3120,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.1,5,0.7595282879714018,0.0005832067618665713,"(0.75, sLIN)-DP",0.75,sLIN
3121,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.1,10,0.7591597328872778,6.71946361440706e-05,"(0.75, sLIN)-DP",0.75,sLIN
3122,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.1,20,0.7594975707251156,0.0004205339081866684,"(0.75, sLIN)-DP",0.75,sLIN
3123,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.1,5,0.7593747206022655,0.00031532972796068315,"(0.75, sLIN)-DP",0.75,sLIN
3124,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.1,10,0.7602960965236415,0.0018658866950727868,"(0.75, sLIN)-DP",0.75,sLIN
3125,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.1,20,0.7594054331329781,0.00032054860436203707,"(0.75, sLIN)-DP",0.75,sLIN
3126,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.1,5,0.7591904454179904,4.662759153779561e-05,"(0.75, sLIN)-DP",0.75,sLIN
3127,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.1,10,0.7596818459093908,0.0007893753883939763,"(0.75, sLIN)-DP",0.75,sLIN
3128,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.1,20,0.7592211532331293,1.4788038740132238e-05,"(0.75, sLIN)-DP",0.75,sLIN
3129,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.1,5,0.7597432709708158,0.0007620374980429649,"(0.75, sLIN)-DP",0.75,sLIN
3130,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.1,10,0.7592518751949889,0.00019162550135482203,"(0.75, sLIN)-DP",0.75,sLIN
3131,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.1,20,0.7605725045844807,0.0011213421738535056,"(0.75, sLIN)-DP",0.75,sLIN
3132,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.25,5,0.7592211155085407,0.0007946128601044679,"(0.75, sLIN)-DP",0.75,sLIN
3133,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.25,10,0.7774335519095998,0.011311721499539103,"(0.75, sLIN)-DP",0.75,sLIN
3134,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.25,20,0.7850494437320785,0.010891609992191026,"(0.75, sLIN)-DP",0.75,sLIN
3135,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.25,5,0.7632137680790375,0.007676594720924872,"(0.75, sLIN)-DP",0.75,sLIN
3136,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.25,10,0.7673903610280857,0.012316091537304803,"(0.75, sLIN)-DP",0.75,sLIN
3137,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=10,
               max_splits=30)",0.25,0.25,20,0.7925738817205884,0.016494328347453513,"(0.75, sLIN)-DP",0.75,sLIN
3138,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.25,5,0.7601424442741808,0.001598463990074105,"(0.75, sLIN)-DP",0.75,sLIN
3139,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.25,10,0.7841282988738077,0.011015999231437177,"(0.75, sLIN)-DP",0.75,sLIN
3140,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=5,
               max_splits=30)",0.25,0.25,20,0.8008043825409095,0.00784219134506545,"(0.75, sLIN)-DP",0.75,sLIN
3141,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.25,5,0.7645344257619706,0.008633470512842427,"(0.75, sLIN)-DP",0.75,sLIN
3142,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.25,10,0.7787230962380663,0.0073086710904682415,"(0.75, sLIN)-DP",0.75,sLIN
3143,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=13, max_random_trees=10,
               max_splits=30)",0.25,0.25,20,0.7841598554921907,0.015904892850328534,"(0.75, sLIN)-DP",0.75,sLIN
3144,"DPRandomForest(dp_epsilon=0.06791944287738548, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.5,5,0.7707073284917596,0.007531393796612271,"(0.75, sLIN)-DP",0.75,sLIN
3145,"DPRandomForest(dp_epsilon=0.04804109707641654, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.5,10,0.7751603483639412,0.018815777534651936,"(0.75, sLIN)-DP",0.75,sLIN
3146,"DPRandomForest(dp_epsilon=0.033977512569103266, dp_zeta=0.00012284634992782776,
               extra_random=False, global_delta='sLIN', global_epsilon=0.75,
               labeling_budget_ratio=0.5, max_depth=2, max_random_trees=5,
               max_splits=30)",0.25,0.5,20,0.771844276859247,0.012788892272201636,"(0.75, sLIN)-DP",0.75,sLIN
